chrom	chromStart	chromEnd	gene symbol	strand	known	UCSC_cassette	NR	Under selection	UI len	exon len	DI len	minEvi (noEST)	inclusion	match known exon	overlap known exon	overlap CDS	AG/GU in hg19	hg19.cass	NMD classification	intron.phyloP	wobble.phyloP	GMM FDR
chr8	33784065	33795150	Rbpms	-	1	cassetteExon_10553	1	0	5586	104	5205	98	0.279161206	1	1	1	1		NMD_in	-0.319345	1.47432	0.019
chr10	39732159	39783332	Rev3l	+	1	cassetteExon_886	1	1	10077	128	40324	624	0.452586207	1	1	NA	1	CA-5980-3462-14071-14199-69739[INC][5/9][UPT]	NMD_in	1.262675	2.465	5.95E-06
chr10	39847974	39852073	Rev3l	+	1		1	1	3193	127	463	214	0.06265233	1	1	NA	1	CA-5980-154536-155899-156026-156473[INC][1/13]	NMD_in	1.53056	2.5674	2.11E-08
chr1	155332162	155345654	Xpr1	-	1		1	0	5155	105	7906	21	0.002965446	1	1	NA	1		NMD_in	0.21096	-0.118029	0.566
chr17	24414685	24418612	Rnps1	+	1	cassetteExon_4381	1	0	3303	181	238	872	0.940355677	1	1	1	1	CA-10921-3358-6652-6840-7081[INC][40/23][UPT]	NMD_in	0.5304075	2.45492	0.00851
chrX	155214032	155215684	Sat1	-	1		1	1	370	110	986	176	0.03520108	1	1	NA	1	CA-6303-3726-4136-4246-5170[INC][41/562]	NMD_in	1.376345	2.52551	6.81E-07
chr9	107689685	107691448	Sema3f	-	1		1	0	140	86	1350	58	0.117599351	1	1	NA	1		NMD_in	0.2602205	0.507069	0.677
chr3	88450510	88451450	Sema4a	-	1		1	0	398	184	135	13	0.005084956	1	1	NA	1		NMD_in	-0.1336595	-0.0987377	0.837
chr7	15920042	15920473	Sepw1	-	1		1	0	90	54	187	4199	0.985388353	1	1	1	1		NMD_in	-0.2062675	0.557833	0.678
chr17	29038489	29040813	Srsf3	+	1	cassetteExon_4456	1	1	829	456	865	2221	0.52542735	1	1	1	1	CA-6428-7671-8508-8964-9839[INC][6/906]	NMD_in	2.576585	2.76741	1.45E-23
chr7	55897824	55900071	Cyfip1	+	1	cassetteExon_9853	1	0	265	154	1523	178	0.56201693	1	1	1	1	CA-sr-chr15f-39[INC][25|1931/29]	NMD_in	0.124675	1.4161	0.364
chr16	22254983	22265929	Tra2b	-	1	cassetteExon_3995	1	1	6479	276	3868	328	0.891998683	1	1	NA	1	CA-6434-3312-9284-9560-14402[INC][63/506][UPT]	NMD_in	1.896285	2.61363	9.01E-13
chr7	101663774	101667299	Clpb	+	1		1	0	1948	89	997	5	0.000954016	1	1	NA	1		NMD_in	0.015750775	-0.187828	0.783
chr15	66801430	66831829	Sla	-	1	cassetteExon_3584	1	0	18772	269	11000	547	0.897527164	1	1	NA	1		NMD_in	-0.2044475	0.406202	0.749
chr4	119108803	119120486	Slc2a1	+	1		1	0	7034	114	4270	43	0.004543697	1	1	NA	1		NMD_in	0.053145	0.0621053	0.808
chr2	120586158	120594956	Snap23	+	1		1	0	4545	93	3886	233	0.189955687	1	1	NA	1	CA-8773-23049-29308-29403-35956[INC][2/282]	NMD_in	0.9850025	1.345	0.00119
chr7	45380716	45383885	Snrnp70	-	1		1	1	619	60	2306	434	0.158273867	1	1	1	1	CA-6625-19264-19906-19966-22426[INC][31/179]	NMD_in	1.43613	2.61105	1.74E-07
chr2	130175329	130177166	Snrpb	-	1		1	1	262	124	1187	1029	0.033656958	1	1	1	1	CA-6628-6247-6538-6662-8034[INC][9/1132]	NMD_in	0.80574	1.94474	0.0121
chr16	91671348	91675548	Son	+	1	cassetteExon_4201	1	1	3229	80	626	397	0.208763727	1	1	NA	1	CA-6651-29044-32507-32587-33264[INC][1/49]	NMD_in	1.44812	2.07363	1.30E-07
chr7	101451401	101481460	Pde2a	+	1	cassetteExon_10063	1	0	10011	62	19829	1569	0.158818511	1	1	1	1	CA-5138-35200-46314-46376-68702[INC][39/119]	NMD_in	0.3071875	1.09324	0.534
chr15	101115754	101116706	Ankrd33	+	1	cassetteExon_3822	1	0	212	234	228	0	NA	1	1	1	1		NMD_in	-0.1185575	0.0960128	0.839
chrX	73788834	73789874	Ssr4	+	1		1	0	101	99	646	350	0.029460581	1	1	NA	1		NMD_in	-0.18828965	-0.509576	0.782
chr2	166950230	166951100	Stau1	-	1		1	0	85	74	427	40	0.991142604	1	1	1	1	CA-sr-chr20r-495[INC][12|5889/8]	NMD_in	0.881591	0.73728	0.00229
chr5	123744954	123749381	Rsrc2	-	1	cassetteExon_8649	1	0	3699	93	385	1741	0.207753898	1	1	NA	1	CA-65117-3166-7107-7215-7714[INC][1/202][UPT]	NMD_in	0.19657	0.718581	0.722
chr5	123740671	123743678	Rsrc2	-	1	cassetteExon_8648	1	1	781	78	1916	928	0.146323892	1	1	1	1	CA-65117-8629-9432-9510-10984[INC][24/154]	NMD_in	1.59734	2.52073	4.51E-09
chr5	123733555	123736681	Rsrc2	-	1	cassetteExon_8647	1	0	662	75	2186	462	0.035092348	1	1	NA	1		NMD_in	0.3528575	1.35096	0.392
chr11	120618372	120620269	Sirt7	-	1		1	1	394	86	633	503	0.106123692	1	1	NA	1	CA-51547-7409-7889-7976-8568[INC][1/36][DNT]	NMD_in	0.9492075	2.05245	0.00174
chr16	21448348	21456353	Vps8	+	1	cassetteExon_3983	1	1	2952	20	4853	2	0.006568144	1	1	1	1		NMD_in	0.6161575	1.61986	0.108
chr11	78219882	78221248	Supt6h	-	1	cassetteExon_1739	1	1	373	151	506	112	0.016212668	1	1	NA	1	CA-sr-chr17f-1407[INC][38|43/1839]	NMD_in	1.385465	2.47053	5.80E-07
chrX	142832500	142841645	Tmem164	+	1		1	1	1583	209	7189	3	0.996963563	1	1	1	1		NMD_in	0.8829725	2.2667	0.00227
chr9	123011527	123014012	Kif15	+	1		1	0	1902	142	258	1	0.009332376	1	1	NA	1		NMD_in	0.06392995	-0.0674894	0.779
chr9	89590723	89596690	AF529169	-	1		1	0	360	66	4709	118	0.254863813	1	1	1	1		NMD_in	0.27752	0.944591	0.609
chr15	57915969	57932683	Wdr67	+	1		1	0	6840	179	9396	4	0.988842399	1	1	1	1	CA-sr-chr8f-2512[INC][94|159/4]	NMD_in	-0.1038225	-0.23065	0.823
chr15	58972475	59055091	Mtss1	-	1		1	0	63726	53	18678	2	0.00038619	1	1	NA	1		NMD_in	-0.0364125	-0.456706	0.728
chr1	40787529	40790657	Mfsd9	-	1	cassetteExon_109	1	0	84	130	2653	13	0.075757576	1	1	NA	1		NMD_in	-0.1189035	-0.377068	0.799
chr11	61752866	61756345	Prpsap2	-	1	cassetteExon_1598	1	0	1751	115	1395	0	0.004226543	1	1	NA	1		NMD_in	0.0125175	-0.0390769	0.814
chr1	132228913	132256810	Lemd1	+	1	cassetteExon_406	1	0	26318	140	1202	0	0.195625759	1	1	1	1		NMD_in	0.09943985	0.0787447	0.782
chr2	61627720	61643785	Tank	+	1	cassetteExon_5849	1	0	1445	88	14342	188	0.067542214	1	1	NA	1		NMD_in	0.2230925	0.115067	0.649
chr15	102518454	102521213	Tarbp2	+	1	cassetteExon_3850	1	1	519	170	1829	76	0.967652692	1	1	1	1	CA-6895-3541-4094-4264-5792[INC][1/1][UPT]	NMD_in	0.75574	1.941	0.0199
chr10	3956545	3967303	Plekhg1	+	1		1	0	1883	197	3115	15	0.024147727	1	1	NA	1		NMD_in	0.51931	1.14732	0.28
chr9	72000415	72015711	Tcf12	-	1		1	1	8875	62	6182	708	0.158516574	1	1	1	1	CA-6938-148189-157018-157080-176154[INC][2/196]	NMD_in	0.9153925	1.83276	0.00374
chr19	55925976	55927754	Tcf7l2	+	1	cassetteExon_5532	1	1	634	73	973	107	0.148043108	1	1	1	1		NMD_in	1.05342	2.36208	0.000221
chr13	59802015	59805375	Zcchc6	-	1		1	1	2111	120	795	105	0.048630977	1	1	NA	1	CA-sr-chr9r-2222[INC][15|24/234]	NMD_in	0.781595	1.95647	0.0149
chr1	192100620	192116346	Rcor3	-	1		1	1	14401	242	470	302	0.73415493	1	1	1	1	CA-sr-chr1f-7720[INC][20|1256/2]	NMD_in	1.5188	2.0072	1.98E-08
chr5	135632701	135636402	Rhbdd2	+	1	cassetteExon_8709	1	0	2185	120	771	1930	0.332191781	1	1	1	1	CA-57414-3262-5366-5488-5830[INC][46/193][UPT]	NMD_in	0.2529465	1.02922	0.597
chr1	193359718	193362133	Camk1g	-	1		1	0	345	88	1732	165	0.0355312	1	1	NA	1		NMD_in	-0.124355	-0.4486	0.782
chr10	62667820	62725801	Stox1	-	1		1	0	1335	170	56289	34	0.317507418	1	1	NA	1		NMD_in	0.0453325	0.756804	0.747
chr10	83624618	83628300	Appl2	-	1		1	0	758	146	2618	29	0.015034837	1	1	NA	1		NMD_in	0.0867345	-0.120041	0.745
chr11	60864986	60878781	Tmem11	-	1	cassetteExon_1590	1	0	2665	288	10411	176	0.026243275	1	1	1	1	CA-8834-3505-6368-6660-18755[INC][20/69][UPT][DNT]	NMD_in	0.143365	0.738219	0.743
chr11	67898883	67904424	Usp43	-	1		1	0	612	80	4652	22	0.035902346	1	1	NA	1		NMD_in	-0.0022475	-0.19763	0.792
chr11	70432652	70435572	Arrb2	+	1		1	0	676	88	2024	17	0.003851915	1	1	NA	1		NMD_in	0.54709	0.869207	0.241
chr11	115464913	115474362	Slc16a5	+	1	cassetteExon_1996	1	0	4175	916	2522	0	NA	1	1	1	1		NMD_in	-0.0097675	-0.0335049	0.823
chr12	82311348	82357363	Sipa1l1	+	1		1	0	29252	1838	14733	145	0.986892655	1	1	1	1	CA-sr-chr14f-1414[INC][1410|2185/9]	NMD_in	0.1595975	0.289742	0.763
chr12	87086354	87090041	Tmem63c	+	1	cassetteExon_2320	1	0	172	256	2371	2	0.000745712	1	1	NA	1		NMD_in	0.1782705	0.446576	0.756
chr8	13339664	13369580	Tfdp1	+	1		1	0	25349	107	4263	118	0.98275106	1	1	1	1	CA-sr-chr13f-1530[INC][9|2465/5]	NMD_in	-0.1435075	-0.174139	0.832
chr13	47067444	47073842	Kdm1b	+	1	cassetteExon_2709	1	0	4309	128	1691	20	0.973649539	1	1	1	1	CA-sr-chr6f-441[INC][35|1794/6]	NMD_in	-0.0275475	-0.0280465	0.829
chr6	86420323	86424420	Tia1	+	1		1	1	3194	66	673	1082	0.212729055	1	1	NA	1	CA-7072-23913-26254-26320-27018[INC][1/39]	NMD_in	1.844145	2.56905	4.04E-12
chr6	86426566	86427818	Tia1	+	1		1	0	141	110	731	125	0.018667017	1	1	NA	1	CA-sr-chr2r-4155[INC][19|28/1424]	NMD_in	0.685275	0.640917	0.0501
chr7	128454935	128461218	Tial1	-	1	cassetteExon_10279	1	1	2468	60	3564	460	0.115775602	1	1	NA	1	CA-7073-3596-6516-6578-11781[INC][2/39][UPT]	NMD_in	1.086562	2.03145	0.000224
chr7	128446194	128448208	Tial1	-	1		1	1	1322	68	460	620	0.227982015	1	1	1	1	CA-7073-18108-19491-19559-20019[INC][4/41]	NMD_in	2.6112	2.56278	2.51E-24
chr13	100607776	100616944	Marveld2	-	1	cassetteExon_2903	1	0	4020	1152	3620	0	1	1	1	1	1		NMD_in	-0.0275225	-0.32568	0.772
chr14	30549181	30558838	Tkt	+	1		1	0	8265	43	1032	13	0.000570909	1	1	NA	1	CA-7086-3279-15492-15532-16872[INC][5/1584][UPT]	NMD_in	0.493416	1.1128	0.316
chr3	8953683	9004478	Tpd52	-	1		1	0	46070	144	4391	0	6.94E-05	1	1	NA	1		NMD_in	0.07036	-0.191542	0.737
chr7	5068031	5069560	U2af2	+	1	cassetteExon_9554	1	1	549	64	647	19	0.012659284	1	1	NA	1	CA-sr-chr19f-4894[INC][196|12/6547]	NMD_in	0.9224325	2.067	0.00239
chr6	30221667	30261003	Ube2h	-	1	cassetteExon_8864	1	1	19504	53	19575	24	0.149635036	1	1	1	1		NMD_in	0.6384675	2.3275	0.0119
chr4	43182768	43230164	Unc13b	+	1		1	0	45065	23	2170	93	0.469189189	1	1	1	1	CA-sr-chr9f-632[INC][20|676/235]	NMD_in	0.6121325	1.40813	0.14
chr14	123840562	123846579	Itgbl1	+	1	cassetteExon_3421	1	0	2888	164	2701	0	0.043478261	1	1	NA	1		NMD_in	1.0831975	0.190345	1.86E-06
chr12	116077759	116080132	Vipr2	+	1		1	0	2000	54	85	0	0	1	1	NA	1		NMD_in	0.1923795	0.0908333	0.687
chr15	99328057	99329432	Fmnl3	-	1		1	1	103	83	927	379	0.511597938	1	1	NA	1	CA-sr-chr12r-3238[INC][165|206/235]	NMD_in	0.9043675	1.89511	0.00417
chr15	98076549	98082327	Senp1	-	1	cassetteExon_3798	1	1	5200	131	202	85	0.107225035	1	1	NA	1	CA-29843-12966-20015-20146-20348[INC][20/35]	NMD_in	1.43637	2.51168	1.79E-07
chr17	32367823	32387817	Wiz	-	1	cassetteExon_4484	1	1	6416	73	12936	1026	0.51958585	1	1	1	1	CA-sr-chr19r-3412[INC][363|46/435]	NMD_in	0.7655225	1.88479	0.0204
chr16	32144870	32165476	Lrrc33	-	1	cassetteExon_4037	1	0	17706	121	2547	45	0.898190045	1	1	1	1		NMD_in	0.193015	0.672098	0.731
chr17	56189322	56190142	Dpp9	-	1		1	0	109	119	296	252	0.055010225	1	1	NA	1	CA-91039-43367-43519-43654-44005[INC][1/36]	NMD_in	0.585319	1.17631	0.192
chr17	80204312	80205438	Srsf7	-	1	cassetteExon_4861	1	1	180	460	234	530	0.07303782	1	1	NA	1	CA-6432-4966-5148-5597-5841[INC][1/344]	NMD_in	1.83554	2.40063	3.86E-12
chr18	34462960	34465220	Fam13b	-	1		1	1	819	174	1153	65	0.010317061	1	1	NA	1		NMD_in	0.8056275	1.53679	0.0206
chr18	34840636	34842526	Reep2	+	1		1	0	343	164	1159	14	0.001239362	1	1	NA	1		NMD_in	0.230451	-0.0400741	0.57
chrX	105890916	105929367	Atrx	-	1		1	0	28965	113	8908	547	0.823605289	1	1	1	1	CA-sr-chrXr-1105[INC][137|871/2]	NMD_in	0.1850135	0.789579	0.713
chr4	46175219	46183235	Xpa	-	1		1	0	2719	192	4791	418	0.164166781	1	1	NA	1	CA-7507-15487-17979-18210-24822[INC][1/20][DNT]	NMD_in	0.1396006	0.922234	0.683
chr19	11921368	11922568	Patl1	+	1	cassetteExon_5357	1	1	357	74	472	311	0.173961219	1	1	NA	1	CA-sr-chr11r-2815[INC][51|47/597]	NMD_in	1.452185	2.255	1.40E-07
chr5	135930760	135934597	Ywhag	-	1		1	0	1680	126	1567	14	0.09202454	1	1	NA	1		NMD_in	0.2666525	1.73748	0.195
chr1	135391495	135394362	Ipo9	-	1	cassetteExon_441	1	0	2200	181	110	109	0.011569323	1	1	1	1		NMD_in	0.13652655	0.0581333	0.745
chr1	179752310	179755654	Ahctf1	-	1		1	1	824	134	418	358	0.188384578	1	1	NA	1	CA-25909-81334-82386-82520-82982[INC][2/21]	NMD_in	1.403155	2.48368	4.01E-07
chr1	179999361	180031588	Cdc42bpa	+	1	cassetteExon_641	1	1	25191	158	6702	1317	0.241519234	1	1	NA	1	CA-sr-chr1r-598[INC][211|200/1133]	NMD_in	0.9870725	2.40765	0.000455
chr1	181177692	181181489	Wdr26	-	1		1	0	655	183	2634	122	0.035895356	1	1	NA	1		NMD_in	0.0553255	-0.00360656	0.797
chr7	6384174	6389559	Zfp28	+	1		1	0	78	47	5041	38	0.048765804	1	1	NA	1		NMD_in	0.1690695	-0.116813	0.639
chr1	52637364	52648926	Tmem194b	+	1	cassetteExon_128	1	0	7780	226	3263	21	0.94795539	1	1	1	1		NMD_in	0.02771555	-0.608653	0.561
chr1	59157373	59158675	Mpp4	-	1		1	0	746	82	262	0	NA	1	1	NA	1		NMD_in	-0.1109575	0.0699259	0.84
chr1	63143602	63147192	Ndufs1	-	1		1	0	550	84	2563	0	0	1	1	NA	1		NMD_in	0.18580985	0.232964	0.729
chr1	105735922	105741095	2310035C23Rik	+	1	cassetteExon_343	1	1	4412	83	495	8	0.997138258	1	1	1	1	CA-sr-chr18f-1035[INC][1932|75/12]	NMD_in	1.189295	2.32967	2.57E-05
chr1	105740434	105741360	2310035C23Rik	+	1	cassetteExon_344	1	1	495	83	201	99	0.018800497	1	1	1	1	CA-57614-95566-96069-96152-96355[INC][1/4]	NMD_in	1.77426	2.5643	3.42E-11
chr2	28845993	28847511	Ddx31	+	1		1	0	725	109	569	119	0.25730443	1	1	NA	1		NMD_in	-0.3404295	-0.469472	0.764
chr15	58047002	58069429	Zhx1	-	1	cassetteExon_3530	1	0	14236	2859	3438	248	0.952160494	1	1	1	1	CA-11244-11269-22370-25220-28221[INC][6/6][DNT]	NMD_in	0.3772995	0.522642	0.492
chr2	34444257	34497873	Mapkap1	+	1		1	0	39547	67	13680	7	0.001066382	1	1	NA	1		NMD_in	0.94284	0.695091	0.000629
chr10	128642628	128643968	Ikzf4	-	1	cassetteExon_1269	1	0	109	72	960	32	0.108965517	1	1	1	1		NMD_in	1.0578075	1.05704	0.000159
chr2	59214677	59266500	Pkp4	+	1		1	1	119	97	51357	3401	0.366483487	1	1	NA	1	CA-8502-79353-79474-79571-123307[INC][1/31]	NMD_in	1.32664	2.32769	2.06E-06
chr2	70757473	70770075	Tlk1	-	1	cassetteExon_5890	1	1	1073	69	11312	1585	0.182157306	1	1	NA	1	CA-9874-151534-152606-152675-173158[INC][3/31]	NMD_in	1.11225	2.43778	7.97E-05
chr2	70725479	70738487	Tlk1	-	1	cassetteExon_5889	1	1	6354	253	6236	217	0.032245223	1	1	NA	1	CA-sr-chr2r-1896[INC][140|105/3140]	NMD_in	1.432377	1.90889	1.64E-07
chr2	79343216	79368811	Cerkl	-	1	cassetteExon_6068	1	0	7292	64	18032	0	1	1	1	1	1		NMD_in	0.4972875	0.194905	0.17
chr2	130814178	130840139	4930402H24Rik	-	1		1	0	19375	120	6165	8	0.957927142	1	1	1	1	CA-sr-chr20r-2094[INC][31|684/35]	NMD_in	0.243394	1.03695	0.599
chr2	165875704	165884653	Zmynd8	-	1		1	0	368	61	8403	88	0.164025696	1	1	NA	1		NMD_in	1.031225	1.4312	0.000572
chr3	16183921	16189563	Ythdf3	+	1	cassetteExon_6722	1	1	3020	149	2362	390	0.071880289	1	1	1	1	CA-253943-3850-7091-7237-9769[INC][7/74]	NMD_in	1.07133	2.2486	0.000215
chr3	103928350	103953774	Rsbn1	+	1		1	1	1012	118	23482	41	0.035884133	1	1	NA	1	CA-54665-18086-19145-19263-37640[INC][1/12]	NMD_in	1.23835	2.02492	1.31E-05
